,precision,recall,f1-score,support
PC|200 cm (wall)|Vid 1,0.7916666666666666,1.0,0.8837209302325582,19.0
PC|200 cm (wall)|Vid 2,1.0,1.0,1.0,11.0
PC|200 cm (wall)|Vid 3,1.0,0.95,0.9743589743589743,20.0
PC|200 cm (wall)|Vid 4,1.0,0.95,0.9743589743589743,20.0
PC|200 cm (wall)|Vid 5,1.0,1.0,1.0,12.0
PC|200 cm (wall)|Vid 6,1.0,0.6666666666666666,0.8,18.0
PC|200 cm (wall)|Vid 7,0.95,1.0,0.9743589743589743,19.0
PC|200 cm (wall)|Vid 8,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
PC|200 cm (wall)|Vid 9,0.85,0.9444444444444444,0.8947368421052632,18.0
PC|200 cm|Vid 1,0.95,1.0,0.9743589743589743,19.0
PC|200 cm|Vid 2,0.875,0.8235294117647058,0.8484848484848485,17.0
PC|200 cm|Vid 3,0.8636363636363636,1.0,0.9268292682926829,19.0
PC|200 cm|Vid 4,0.95,1.0,0.9743589743589743,19.0
PC|200 cm|Vid 5,0.9375,0.8823529411764706,0.9090909090909091,17.0
PC|200 cm|Vid 6,1.0,0.8947368421052632,0.9444444444444444,19.0
PC|200 cm|Vid 7,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
PC|200 cm|Vid 8,1.0,1.0,1.0,17.0
PC|200 cm|Vid 9,1.0,1.0,1.0,19.0
PC|50 cm|Vid 1,0.875,0.7777777777777778,0.823529411764706,18.0
PC|50 cm|Vid 2,0.9473684210526315,1.0,0.972972972972973,18.0
PC|50 cm|Vid 3,1.0,1.0,1.0,20.0
PC|50 cm|Vid 4,1.0,1.0,1.0,20.0
PC|50 cm|Vid 5,1.0,0.9444444444444444,0.9714285714285714,18.0
PC|50 cm|Vid 6,0.8333333333333334,0.7894736842105263,0.8108108108108109,19.0
PC|50 cm|Vid 7,0.95,0.95,0.9500000000000001,20.0
PC|50 cm|Vid 8,0.9444444444444444,1.0,0.9714285714285714,17.0
PC|50 cm|Vid 9,0.7619047619047619,0.8888888888888888,0.8205128205128205,18.0
RPi4|200 cm (wall)|Vid 1,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0
RPi4|200 cm (wall)|Vid 2,0.8823529411764706,0.9375,0.9090909090909091,16.0
RPi4|200 cm (wall)|Vid 3,0.9444444444444444,0.85,0.8947368421052632,20.0
RPi4|200 cm (wall)|Vid 4,0.8571428571428571,0.9473684210526315,0.9,19.0
RPi4|200 cm (wall)|Vid 5,0.9444444444444444,1.0,0.9714285714285714,17.0
RPi4|200 cm (wall)|Vid 6,1.0,0.9444444444444444,0.9714285714285714,18.0
RPi4|200 cm (wall)|Vid 7,0.7619047619047619,0.8421052631578947,0.8,19.0
RPi4|200 cm (wall)|Vid 8,0.8095238095238095,0.8947368421052632,0.8500000000000001,19.0
RPi4|200 cm (wall)|Vid 9,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
RPi4|200 cm|Vid 1,0.9,1.0,0.9473684210526316,18.0
RPi4|200 cm|Vid 2,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
RPi4|200 cm|Vid 3,1.0,0.85,0.9189189189189189,20.0
RPi4|200 cm|Vid 4,0.9333333333333333,0.7,0.8,20.0
RPi4|200 cm|Vid 5,1.0,0.8461538461538461,0.9166666666666666,13.0
RPi4|200 cm|Vid 6,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
RPi4|200 cm|Vid 7,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
RPi4|200 cm|Vid 8,1.0,0.9333333333333333,0.9655172413793104,15.0
RPi4|200 cm|Vid 9,1.0,0.8823529411764706,0.9375,17.0
RPi4|50 cm|Vid 1,1.0,0.8947368421052632,0.9444444444444444,19.0
RPi4|50 cm|Vid 2,1.0,0.9090909090909091,0.9523809523809523,11.0
RPi4|50 cm|Vid 3,0.8636363636363636,0.95,0.9047619047619048,20.0
RPi4|50 cm|Vid 4,0.8695652173913043,1.0,0.9302325581395349,20.0
RPi4|50 cm|Vid 5,0.8823529411764706,1.0,0.9375,15.0
RPi4|50 cm|Vid 6,0.9375,0.8333333333333334,0.8823529411764706,18.0
RPi4|50 cm|Vid 7,0.9,0.9473684210526315,0.9230769230769231,19.0
RPi4|50 cm|Vid 8,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
RPi4|50 cm|Vid 9,0.8181818181818182,1.0,0.9,18.0
accuracy,0.9202518363064008,0.9202518363064008,0.9202518363064008,0.9202518363064008
macro avg,0.9259599333958827,0.9199258083868507,0.9200411146066211,953.0
weighted avg,0.9251043352049757,0.9202518363064008,0.9196969171775421,953.0
